Year,Make ,Model,Price Carbon,Price Ceramic,Front Carbon,Front Ceramic,Back Carbon,Back Ceramic
2006,Dodge,Magnum,225,325,100,150,180,260
,Dodge ,Nitro,250,350,100,150,220,320
,Dodge,Ram ,200,280,100,150,170,260
,Dodge,Ram,200,280,100,150,170,260
,Dodge,Ram Promaster van,380,480,150,200,300,400
,Dodge,SPRINTER,380,480,150,200,300,400
,Ferrari,488,400,500,170,200,300,400
,Ferrari,Tribuo,400,500,170,200,300,400
,Fiat,500,180,280,100,150,130,200
,Ford,Bronco Sport,225,325,100,150,200,280
,Ford,Bronco Sport,250,350,100,150,220,320
,Ford,C-Max,220,320,120,170,180,260
,Ford,Crown Victoria,200,280,100,150,180,260
,Ford,Ecosport,225,325,120,170,195,275
,Ford,Edge,225,325,100,150,195,275
,Ford,Escape,250,350,100,150,220,320
2006,Ford,Escape,270,370,100,150,220,320
,Ford,Excursion,250,350,100,150,220,320
,Ford ,Expedition,250,350,100,150,220,320
,Ford,Explorer,250,350,100,150,220,320
,Ford,F150,200,300,100,150,170,260
,Ford,F250,200,300,100,150,170,260
,Ford,F350,200,300,100,150,170,260
,Ford,F450,190,290,100,150,170,260
,Ford,F550,190,290,100,150,170,260
,Ford,Fiesta,200,300,120,170,170,220
2006,Ford,Five Hundred,200,280,100,150,170,220
,Ford,Flex,260,360,120,170,220,320
,Ford,Focus,200,280,100,150,170,260
,Ford,Fusion,200,300,120,170,170,260
,Ford,Maverick,200,280,100,150,170,260
,Ford,Mustang Mach e,225,325,100,150,195,275
,Ford,Mustang,180,280,100,150,160,240
,Ford,Mustang convertible,200,300,100,150,160,240
,Ford,Ranger,200,300,100,150,170,260
,Ford,Taurus,200,280,100,150,170,260
,Genesis,G70,200,280,100,150,170,260
,Genesis,G90,280,380,170,200,230,330
,Genesis,GV80,250,350,120,170,195,275
,GMC,Acadia,250,350,100,150,220,320
,GMC,Canyon,200,280,100,150,170,260
,GMC,Canyon,200,300,100,150,170,260
,GMC,Denali,250,350,100,150,220,320
,GMC,Hummer EV SUV,300,400,120,170,250,350
,GMC,Savana,500,600,100,150,450,550
,GMC,Sierra,200,280,100,150,170,260
,GMC,Terrain,250,350,100,150,220,320
,GMC,Yukon,225,350,100,150,200,280
,GMC,Yukon XL,300,400,100,150,260,360
,Honda,Accord,160,260,100,150,120,190
,Honda,Accord,200,280,100,150,170,260
,Honda,Civic,160,260,100,150,120,190
2022,Honda,Civic hatchback,200,280,100,150,170,260
,Honda,Clarity,200,300,120,170,170,260
,Honda,Crosstour,225,325,100,150,195,275
,Honda,CRV,225,325,100,150,195,275
,Honda,CR-Z (6) ask about window below spoiler,200,300,100,150,170,260
,Honda,Element,250,350,100,150,220,320
,Honda,Fit,220,320,120,170,175,260
2023,Honda,HRV ,250,350,100,150,195,275
,Honda,Insight,160,260,100,150,120,190
,Honda,Odyssey,280,380,120,170,260,340
,Honda,Passport,290,390,120,170,260,325
,Honda,Pilot,290,390,120,170,260,325
1990,Honda,Prelude,160,260,100,150,140,220
,Honda,Ridgeline,280,380,120,170,240,340
,Hummer,H1,340,440,120,170,300,380
,Hummer,H2,340,440,120,170,300,380
,Hummer,H3,340,440,120,170,300,380
,Hyundai,Azera,200,280,100,150,170,260
,Hyundai,elantra,200,280,100,150,170,260
,Hyundai,Accent,200,280,100,150,170,260
,hyundai,Genesis,160,260,100,150,120,190
,Hyundai,Ioniq,220,300,100,150,170,260
2019,Hyundai,Kona,225,325,100,150,195,275
,Hyundai,Palisades,250,350,100,150,220,320
,Hyundai,Santa fe,250,350,120,170,220,320
,Hyundai,Santa Cruz,200,280,100,150,170,260
2019,Hyundai,Sonata,200,280,100,150,170,260
,Hyundai,Tuscan,225,325,100,150,195,275
,Hyundai,Veloster,200,280,100,150,170,275
2012,infiniti,G 25,200,280,100,150,170,260
,Infiniti,G 35 Coupe,160,260,100,150,130,190
,Infiniti,G 35,200,280,100,150,170,260
,Infiniti,G 37,200,280,100,150,170,260
,Infiniti,M45,200,280,100,150,170,260
,Infiniti,Q 50,200,280,100,150,170,260
,Infiniti,Q 60,160,260,100,150,130,200
,Infiniti,Q 70,200,280,100,150,170,260
,Infiniti,QX 30,225,325,100,150,195,275
,Infiniti,QX 50,225,325,100,150,195,275
,Infiniti,QX 60,250,350,100,150,220,320
,Infiniti,QX 80,250,350,100,150,220,320
,Jaguar,E Pace,200,280,100,150,170,260
,Jaguar,F pace,200,280,100,150,170,260
,Jaguar,F type,200,280,100,150,170,260
,Jaguar,I pace,250,350,120,150,200,280
,Jaguar,XE,200,280,100,150,170,260
,Jaguar,XF,200,280,100,150,170,260
,Jaguar,XF Sports break,225,325,100,150,170,230
,Jaguar,XJ ,200,280,100,150,170,260
,Jeep,4x4,250,350,100,150,220,320
,Jeep,Compass,225,325,100,150,195,275
,Jeep,Cherokee small,225,325,100,150,195,275
,Jeep,Gladiator,225,325,100,150,200,280
,Jeep,Gladiator,250,350,100,150,220,320
,Jeep,Grand Cherokee,250,350,100,150,220,320
,Jeep,Liberty,250,350,100,150,220,320
,Jeep,Patriot,250,350,100,150,220,320
