auto_id,Year,Make,Model,Full Carbon,Full Ceramic,Front Carbon,Front Ceramic,Back Carbon,Back Ceramic
505,Other,Volkswagen,Golf GTI,200,300,120,170,180,260
506,Other,Volkswagen,GTI,180,280,100,150,130,200
507,Other,Volkswagen,Jetta,200,280,100,150,180,260
508,Other,Volkswagen,Jetta wagon,260,360,100,150,200,300
509,Other,Volkswagen,Passat,200,280,100,150,180,260
510,Other,Volkswagen,Tiguan,280,280,120,170,260,325
511,Other,Volkswagen,Taos,225,325,100,150,195,275
512,Other,Volkswagen,r-line,225,325,100,150,195,275
513,Other,Volkswagen,ID 4,280,380,120,170,250,350
514,Other,Volvo,S40,200,280,100,150,180,260
515,Other,Volvo,c40,225,325,100,150,200,280
516,Other,Volvo,v40,225,325,100,150,200,280
517,Other,Volvo,V60,260,360,100,150,200,300
518,Other,Volvo,x60,225,325,100,150,195,275
519,Other,Volvo,xc60,225,325,100,150,195,275
520,Other,Volvo,xc90,260,360,100,150,220,320
521,Other,Volvo,S90,200,280,100,150,180,260
522,Other,Volvo,S60,200,280,100,150,180,260
